,mean_2014_2019,month,month_day,month_num,data
332,20.0,Nov,28,11,2020-11-28
333,15.0,Nov,29,11,2020-11-29
334,18.0,Nov,30,11,2020-11-30
335,17.0,Dez,01,12,2020-12-01
336,18.0,Dez,02,12,2020-12-02
337,20.0,Dez,03,12,2020-12-03
338,20.0,Dez,04,12,2020-12-04
339,19.0,Dez,05,12,2020-12-05
340,16.0,Dez,06,12,2020-12-06
341,19.0,Dez,07,12,2020-12-07
342,15.0,Dez,08,12,2020-12-08
343,22.0,Dez,09,12,2020-12-09
344,18.0,Dez,10,12,2020-12-10
345,19.0,Dez,11,12,2020-12-11
346,18.0,Dez,12,12,2020-12-12
347,19.0,Dez,13,12,2020-12-13
348,19.0,Dez,14,12,2020-12-14
349,20.0,Dez,15,12,2020-12-15
350,21.0,Dez,16,12,2020-12-16
351,17.0,Dez,17,12,2020-12-17
352,17.0,Dez,18,12,2020-12-18
353,24.0,Dez,19,12,2020-12-19
354,19.0,Dez,20,12,2020-12-20
355,20.0,Dez,21,12,2020-12-21
356,20.0,Dez,22,12,2020-12-22
357,20.0,Dez,23,12,2020-12-23
358,21.0,Dez,24,12,2020-12-24
359,20.0,Dez,25,12,2020-12-25
360,23.0,Dez,26,12,2020-12-26
361,22.0,Dez,27,12,2020-12-27
362,23.0,Dez,28,12,2020-12-28
363,20.0,Dez,29,12,2020-12-29
364,19.0,Dez,30,12,2020-12-30
365,21.0,Dez,31,12,2020-12-31
