,mean_2014_2019,month,month_day,month_num,data
156,44.0,Jun,05,06,2020-06-05
157,41.0,Jun,06,06,2020-06-06
158,44.0,Jun,07,06,2020-06-07
159,44.0,Jun,08,06,2020-06-08
160,41.0,Jun,09,06,2020-06-09
161,45.0,Jun,10,06,2020-06-10
162,44.0,Jun,11,06,2020-06-11
163,45.0,Jun,12,06,2020-06-12
164,45.0,Jun,13,06,2020-06-13
165,41.0,Jun,14,06,2020-06-14
166,45.0,Jun,15,06,2020-06-15
167,43.0,Jun,16,06,2020-06-16
168,47.0,Jun,17,06,2020-06-17
169,51.0,Jun,18,06,2020-06-18
170,50.0,Jun,19,06,2020-06-19
171,50.0,Jun,20,06,2020-06-20
172,49.0,Jun,21,06,2020-06-21
173,49.0,Jun,22,06,2020-06-22
174,44.0,Jun,23,06,2020-06-23
175,44.0,Jun,24,06,2020-06-24
176,44.0,Jun,25,06,2020-06-25
177,43.0,Jun,26,06,2020-06-26
178,43.0,Jun,27,06,2020-06-27
179,42.0,Jun,28,06,2020-06-28
180,46.0,Jun,29,06,2020-06-29
181,45.0,Jun,30,06,2020-06-30
182,42.0,Jul,01,07,2020-07-01
183,41.0,Jul,02,07,2020-07-02
184,46.0,Jul,03,07,2020-07-03
185,47.0,Jul,04,07,2020-07-04
186,41.0,Jul,05,07,2020-07-05
187,45.0,Jul,06,07,2020-07-06
188,45.0,Jul,07,07,2020-07-07
189,42.0,Jul,08,07,2020-07-08
190,42.0,Jul,09,07,2020-07-09
191,45.0,Jul,10,07,2020-07-10
192,42.0,Jul,11,07,2020-07-11
193,45.0,Jul,12,07,2020-07-12
194,43.0,Jul,13,07,2020-07-13
195,42.0,Jul,14,07,2020-07-14
196,41.0,Jul,15,07,2020-07-15
197,40.0,Jul,16,07,2020-07-16
198,51.0,Jul,17,07,2020-07-17
199,46.0,Jul,18,07,2020-07-18
200,46.0,Jul,19,07,2020-07-19
201,44.0,Jul,20,07,2020-07-20
202,45.0,Jul,21,07,2020-07-21
203,42.0,Jul,22,07,2020-07-22
204,44.0,Jul,23,07,2020-07-23
205,39.0,Jul,24,07,2020-07-24
206,43.0,Jul,25,07,2020-07-25
207,44.0,Jul,26,07,2020-07-26
