"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Jul-10","14","14","10","14","7","10",""
"Jul-11","9","11","16","15","15","9",""
"Jul-12","14","7","8","6","14","19",""
"Jul-13","10","9","18","14","10","10",""
"Jul-14","9","11","16","18","12","7",""
"Jul-15","12","20","15","28","6","14",""
"Jul-16","14","16","13","10","7","8",""
"Jul-17","18","15","14","13","8","12",""
"Jul-18","17","18","17","14","14","8",""
"Jul-19","8","20","11","16","16","15",""
"Jul-20","8","18","12","16","11","19",""
"Jul-21","7","11","18","11","14","18",""
"Jul-22","14","18","12","18","13","18",""
"Jul-23","15","10","15","7","6","13",""
"Jul-24","10","10","13","13","12","16",""
"Jul-25","9","16","15","16","16","10",""
"Jul-26","15","14","17","14","9","18",""
"Jul-27","14","12","11","12","13","8",""
"Jul-28","8","18","15","12","10","11",""
"Jul-29","15","19","19","14","14","9",""
"Jul-30","11","10","7","15","17","18",""
"Jul-31","13","15","14","14","13","13",""
"Ago-01","9","11","13","12","16","11",""
"Ago-02","12","16","10","11","12","11",""
"Ago-03","16","16","8","8","18","20",""
"Ago-04","19","13","9","19","17","17",""
"Ago-05","14","9","8","17","18","14",""
"Ago-06","5","14","15","24","18","16",""
"Ago-07","11","21","10","19","21","6",""
"Ago-08","10","17","17","17","17","12",""
"Ago-09","18","14","17","11","15","22",""
"Ago-10","18","16","13","15","16","7",""
"Ago-11","9","12","13","15","16","6",""
"Ago-12","16","14","15","11","17","12",""
"Ago-13","15","9","9","12","12","11",""
"Ago-14","6","11","13","19","18","18",""
"Ago-15","8","12","15","11","10","14",""
"Ago-16","18","13","22","14","15","18",""
"Ago-17","12","10","21","9","14","12",""
"Ago-18","10","13","7","13","19","21",""
"Ago-19","9","10","11","9","8","15",""
"Ago-20","17","9","12","21","9","13",""
"Ago-21","15","10","16","16","17","21",""
"Ago-22","15","9","17","14","14","19",""
"Ago-23","11","12","18","12","11","20",""
"Ago-24","8","8","13","15","20","16",""
"Ago-25","12","8","15","14","24","8",""
"Ago-26","17","17","22","11","10","14",""
"Ago-27","10","12","10","12","22","8",""
"Ago-28","8","10","13","10","13","16",""
"Ago-29","14","10","16","11","12","14",""
"Ago-30","13","13","13","8","9","12",""
"Ago-31","16","7","11","17","14","8",""
"Set-01","12","11","13","9","15","16",""
"Set-02","16","13","22","8","12","14",""
"Set-03","11","14","7","14","14","8",""
"Set-04","5","8","13","10","8","13",""
"Set-05","9","12","14","17","16","17",""
"Set-06","11","8","18","11","5","15",""
"Set-07","12","12","15","12","8","12",""
"Set-08","15","8","23","18","15","11",""
"Set-09","13","13","10","11","13","10",""
"Set-10","16","13","12","10","11","15",""
"Set-11","8","6","12","8","11","11",""
"Set-12","9","15","18","16","14","12",""
"Set-13","10","15","9","20","11","10",""
"Set-14","7","9","11","16","13","18",""
"Set-15","11","14","12","21","12","16",""
"Set-16","14","9","10","21","13","16",""
"Set-17","12","12","15","9","9","10",""
"Set-18","13","9","10","12","18","13",""
"Set-19","8","11","10","12","12","11",""
"Set-20","13","14","12","8","5","8",""
"Set-21","13","10","16","11","11","13",""
"Set-22","9","11","16","10","14","18",""
"Set-23","11","12","20","13","12","10",""
"Set-24","14","14","13","11","15","9",""
"Set-25","12","12","11","10","14","11",""
"Set-26","5","9","15","7","9","13",""
"Set-27","16","17","13","9","13","10",""
"Set-28","9","11","20","13","10","11",""
"Set-29","7","18","9","15","14","9",""
"Set-30","12","5","14","11","13","12",""
"Out-01","11","5","11","13","22","9",""
"Out-02","17","11","3","14","17","8",""
"Out-03","7","9","16","22","9","15",""
"Out-04","13","16","11","10","5","18",""
"Out-05","13","16","12","10","17","15",""
"Out-06","8","4","12","10","12","11",""
"Out-07","11","12","6","16","15","9",""
