"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Out-09","100","70","93","103","90","87",""
"Out-10","94","81","86","89","85","101",""
"Out-11","69","65","98","90","95","67",""
"Out-12","83","76","89","103","94","102",""
"Out-13","102","81","79","72","101","84",""
"Out-14","79","68","87","83","101","98",""
"Out-15","87","94","106","84","120","93",""
"Out-16","104","93","88","104","89","92",""
"Out-17","95","70","104","92","108","99",""
"Out-18","101","88","91","93","93","100",""
"Out-19","104","72","107","88","112","95",""
"Out-20","106","68","106","103","96","114",""
"Out-21","104","81","110","83","97","97",""
"Out-22","101","85","113","95","100","105",""
"Out-23","100","83","98","105","98","110",""
"Out-24","93","96","82","96","99","113",""
"Out-25","111","108","84","102","86","121",""
"Out-26","110","84","100","81","106","99",""
"Out-27","97","82","109","90","79","113",""
"Out-28","98","71","85","103","102","106",""
"Out-29","115","83","96","106","106","103",""
"Out-30","86","94","91","91","113","107",""
"Out-31","91","71","88","95","93","102",""
"Nov-01","96","92","103","85","104","104",""
"Nov-02","89","86","89","103","117","99",""
"Nov-03","96","84","102","86","94","118",""
"Nov-04","100","96","90","96","101","96",""
"Nov-05","84","93","78","99","107","94",""
"Nov-06","84","99","93","84","104","103",""
"Nov-07","93","102","82","96","105","108",""
"Nov-08","91","93","97","81","87","103",""
"Nov-09","89","84","103","89","109","98",""
"Nov-10","100","101","86","103","116","97",""
"Nov-11","92","106","118","89","104","106",""
"Nov-12","91","83","104","107","103","107",""
"Nov-13","102","76","103","84","100","110",""
"Nov-14","110","108","102","88","93","124",""
"Nov-15","101","88","92","104","96","116",""
"Nov-16","79","82","97","110","117","88",""
"Nov-17","108","101","91","108","101","101",""
"Nov-18","107","104","129","105","115","108",""
"Nov-19","96","96","108","104","107","106",""
"Nov-20","91","92","126","107","84","111",""
"Nov-21","101","98","111","97","73","112",""
"Nov-22","133","69","97","117","99","106",""
"Nov-23","98","84","89","108","82","112",""
"Nov-24","97","102","106","103","95","98",""
"Nov-25","91","114","123","114","106","106",""
"Nov-26","108","107","108","91","103","125",""
"Nov-27","102","99","112","96","98","100",""
"Nov-28","122","94","118","111","93","104",""
"Nov-29","114","111","120","79","104","110",""
"Nov-30","103","131","139","109","101","112",""
"Dez-01","139","116","111","102","108","91",""
"Dez-02","120","102","128","104","109","103",""
"Dez-03","106","113","123","111","105","110",""
"Dez-04","122","100","115","110","102","103",""
"Dez-05","113","101","96","125","109","114",""
"Dez-06","99","97","127","138","110","101",""
"Dez-07","114","117","103","124","119","104",""
"Dez-08","104","96","110","122","142","122",""
"Dez-09","105","111","113","131","97","109",""
"Dez-10","120","112","124","141","106","120",""
"Dez-11","113","92","129","115","107","111",""
"Dez-12","98","107","140","134","125","121",""
"Dez-13","116","86","122","123","107","111",""
"Dez-14","106","97","134","117","128","122",""
"Dez-15","86","121","125","126","105","122",""
"Dez-16","116","98","137","118","94","125",""
"Dez-17","107","77","135","140","119","97",""
"Dez-18","102","105","125","115","127","116",""
"Dez-19","122","104","129","116","104","110",""
"Dez-20","118","98","131","122","89","143",""
"Dez-21","101","101","136","135","137","115",""
"Dez-22","139","109","134","114","111","118",""
"Dez-23","124","91","136","117","111","134",""
"Dez-24","125","86","156","121","115","129",""
"Dez-25","131","124","139","123","126","108",""
"Dez-26","137","94","150","130","133","120",""
"Dez-27","107","103","182","131","129","126",""
"Dez-28","129","134","147","108","130","108",""
"Dez-29","126","109","159","148","130","116",""
"Dez-30","144","107","182","131","114","122",""
"Dez-31","118","114","174","128","120","121",""
