,2020,month,month_day,month_num,data
172,,Jun,21,06,2020-06-21
173,,Jun,22,06,2020-06-22
174,,Jun,23,06,2020-06-23
175,,Jun,24,06,2020-06-24
176,,Jun,25,06,2020-06-25
177,,Jun,26,06,2020-06-26
178,,Jun,27,06,2020-06-27
179,,Jun,28,06,2020-06-28
180,,Jun,29,06,2020-06-29
181,,Jun,30,06,2020-06-30
182,,Jul,01,07,2020-07-01
183,,Jul,02,07,2020-07-02
184,,Jul,03,07,2020-07-03
185,,Jul,04,07,2020-07-04
186,,Jul,05,07,2020-07-05
187,,Jul,06,07,2020-07-06
188,,Jul,07,07,2020-07-07
189,,Jul,08,07,2020-07-08
190,,Jul,09,07,2020-07-09
191,,Jul,10,07,2020-07-10
192,,Jul,11,07,2020-07-11
193,,Jul,12,07,2020-07-12
194,,Jul,13,07,2020-07-13
195,,Jul,14,07,2020-07-14
196,,Jul,15,07,2020-07-15
197,,Jul,16,07,2020-07-16
198,,Jul,17,07,2020-07-17
199,,Jul,18,07,2020-07-18
200,,Jul,19,07,2020-07-19
201,,Jul,20,07,2020-07-20
202,,Jul,21,07,2020-07-21
203,,Jul,22,07,2020-07-22
204,,Jul,23,07,2020-07-23
205,,Jul,24,07,2020-07-24
206,,Jul,25,07,2020-07-25
207,,Jul,26,07,2020-07-26
208,,Jul,27,07,2020-07-27
209,,Jul,28,07,2020-07-28
210,,Jul,29,07,2020-07-29
211,,Jul,30,07,2020-07-30
212,,Jul,31,07,2020-07-31
213,,Ago,01,08,2020-08-01
214,,Ago,02,08,2020-08-02
215,,Ago,03,08,2020-08-03
216,,Ago,04,08,2020-08-04
217,,Ago,05,08,2020-08-05
218,,Ago,06,08,2020-08-06
219,,Ago,07,08,2020-08-07
220,,Ago,08,08,2020-08-08
221,,Ago,09,08,2020-08-09
222,,Ago,10,08,2020-08-10
223,,Ago,11,08,2020-08-11
224,,Ago,12,08,2020-08-12
225,,Ago,13,08,2020-08-13
226,,Ago,14,08,2020-08-14
227,,Ago,15,08,2020-08-15
228,,Ago,16,08,2020-08-16
229,,Ago,17,08,2020-08-17
230,,Ago,18,08,2020-08-18
231,,Ago,19,08,2020-08-19
232,,Ago,20,08,2020-08-20
233,,Ago,21,08,2020-08-21
234,,Ago,22,08,2020-08-22
235,,Ago,23,08,2020-08-23
236,,Ago,24,08,2020-08-24
237,,Ago,25,08,2020-08-25
238,,Ago,26,08,2020-08-26
239,,Ago,27,08,2020-08-27
240,,Ago,28,08,2020-08-28
241,,Ago,29,08,2020-08-29
242,,Ago,30,08,2020-08-30
243,,Ago,31,08,2020-08-31
244,,Set,01,09,2020-09-01
245,,Set,02,09,2020-09-02
246,,Set,03,09,2020-09-03
247,,Set,04,09,2020-09-04
248,,Set,05,09,2020-09-05
249,,Set,06,09,2020-09-06
250,,Set,07,09,2020-09-07
251,,Set,08,09,2020-09-08
252,,Set,09,09,2020-09-09
253,,Set,10,09,2020-09-10
254,,Set,11,09,2020-09-11
255,,Set,12,09,2020-09-12
256,,Set,13,09,2020-09-13
257,,Set,14,09,2020-09-14
258,,Set,15,09,2020-09-15
259,,Set,16,09,2020-09-16
260,,Set,17,09,2020-09-17
261,,Set,18,09,2020-09-18
262,,Set,19,09,2020-09-19
263,,Set,20,09,2020-09-20
264,,Set,21,09,2020-09-21
265,,Set,22,09,2020-09-22
266,,Set,23,09,2020-09-23
267,,Set,24,09,2020-09-24
268,,Set,25,09,2020-09-25
269,,Set,26,09,2020-09-26
270,,Set,27,09,2020-09-27
271,,Set,28,09,2020-09-28
272,,Set,29,09,2020-09-29
273,,Set,30,09,2020-09-30
274,,Out,01,10,2020-10-01
275,,Out,02,10,2020-10-02
276,,Out,03,10,2020-10-03
277,,Out,04,10,2020-10-04
