"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Out-31","53","42","41","65","52","48",""
"Nov-01","48","51","42","60","40","58",""
"Nov-02","45","49","55","53","61","53",""
"Nov-03","57","49","62","54","58","51",""
"Nov-04","32","47","63","49","40","77",""
"Nov-05","42","58","58","61","55","57",""
"Nov-06","57","70","54","47","50","51",""
"Nov-07","73","61","50","41","50","50",""
"Nov-08","56","57","53","46","49","69",""
"Nov-09","54","50","53","45","44","50",""
"Nov-10","55","61","58","52","68","56",""
"Nov-11","71","51","47","58","50","55",""
"Nov-12","51","58","66","54","68","73",""
"Nov-13","60","51","52","64","45","59",""
"Nov-14","60","43","52","53","61","55",""
"Nov-15","55","45","44","62","62","57",""
"Nov-16","45","59","54","70","51","58",""
"Nov-17","53","54","57","67","53","53",""
"Nov-18","52","45","51","43","66","65",""
"Nov-19","56","39","64","56","54","75",""
"Nov-20","58","59","58","81","43","57",""
"Nov-21","51","40","68","61","50","61",""
"Nov-22","59","47","65","60","60","73",""
"Nov-23","54","54","59","59","49","62",""
"Nov-24","44","47","72","63","42","66",""
"Nov-25","58","56","60","51","69","61",""
"Nov-26","64","73","67","57","64","55",""
"Nov-27","49","47","49","68","50","58",""
"Nov-28","59","58","58","70","55","58",""
"Nov-29","65","62","43","58","62","58",""
"Nov-30","54","55","66","53","46","57",""
"Dez-01","60","50","59","49","55","51",""
"Dez-02","65","63","57","60","71","64",""
"Dez-03","48","49","54","61","54","47",""
"Dez-04","57","60","70","75","55","55",""
"Dez-05","64","49","66","46","56","65",""
"Dez-06","56","53","60","56","56","68",""
"Dez-07","48","50","56","68","58","59",""
"Dez-08","61","61","68","77","54","43",""
"Dez-09","58","43","72","67","64","75",""
"Dez-10","57","57","61","75","57","61",""
"Dez-11","61","33","60","61","48","56",""
"Dez-12","70","49","75","52","59","59",""
"Dez-13","62","52","59","56","59","57",""
"Dez-14","61","60","66","60","55","58",""
"Dez-15","61","49","55","69","49","56",""
"Dez-16","69","54","76","63","53","55",""
"Dez-17","60","57","67","67","53","56",""
"Dez-18","60","59","78","82","66","44",""
"Dez-19","64","60","74","55","67","71",""
"Dez-20","62","54","60","74","51","35",""
"Dez-21","63","48","61","73","53","66",""
"Dez-22","66","51","80","79","54","70",""
"Dez-23","75","39","67","69","72","46",""
"Dez-24","75","54","91","54","72","57",""
"Dez-25","76","41","87","81","64","54",""
"Dez-26","72","58","79","77","58","51",""
"Dez-27","65","58","79","78","60","76",""
"Dez-28","61","65","81","96","63","59",""
"Dez-29","66","60","74","51","60","58",""
"Dez-30","62","56","87","67","55","58",""
"Dez-31","93","60","91","58","67","59",""
