"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Ago-30","17","19","14","11","10","18",""
"Ago-31","16","17","19","13","12","16",""
"Set-01","18","20","14","15","21","20",""
"Set-02","18","14","28","17","23","24",""
"Set-03","14","17","21","18","17","14",""
"Set-04","12","16","11","19","18","19",""
"Set-05","22","18","23","16","17","18",""
"Set-06","27","19","13","20","16","15",""
"Set-07","19","13","17","17","14","19",""
"Set-08","18","8","25","25","21","10",""
"Set-09","19","18","10","20","12","19",""
"Set-10","18","20","19","14","16","12",""
"Set-11","16","18","14","16","20","12",""
"Set-12","23","9","9","16","21","22",""
"Set-13","18","20","14","20","15","18",""
"Set-14","13","14","16","25","21","18",""
"Set-15","20","11","11","12","20","12",""
"Set-16","22","15","13","15","16","16",""
"Set-17","12","16","14","14","16","12",""
"Set-18","19","11","16","9","20","14",""
"Set-19","9","20","16","19","14","15",""
"Set-20","17","15","21","17","26","26",""
"Set-21","9","22","22","23","19","18",""
"Set-22","23","11","10","9","22","21",""
"Set-23","15","18","13","19","17","18",""
"Set-24","23","11","20","14","14","10",""
"Set-25","20","10","16","16","11","17",""
"Set-26","18","13","12","21","17","16",""
"Set-27","20","17","22","18","15","12",""
"Set-28","18","19","23","18","19","14",""
"Set-29","19","12","23","19","31","15",""
"Set-30","13","8","20","18","11","24",""
"Out-01","17","23","21","19","23","8",""
"Out-02","14","21","10","21","18","16",""
"Out-03","10","17","22","27","17","15",""
"Out-04","14","20","14","19","20","23",""
"Out-05","20","19","25","16","18","21",""
"Out-06","11","16","21","17","13","14",""
"Out-07","21","14","15","18","23","20",""
"Out-08","6","17","13","19","22","13",""
"Out-09","15","14","14","21","25","23",""
"Out-10","12","16","20","18","19","16",""
"Out-11","14","23","16","23","16","21",""
"Out-12","15","11","13","20","16","23",""
"Out-13","16","16","19","16","22","18",""
"Out-14","22","10","18","15","18","21",""
"Out-15","13","19","9","11","17","21",""
"Out-16","13","15","17","15","20","19",""
"Out-17","20","27","15","10","13","18",""
"Out-18","20","24","18","26","16","31",""
"Out-19","21","22","21","20","13","18",""
"Out-20","16","15","13","21","15","11",""
"Out-21","14","19","12","20","14","21",""
"Out-22","19","10","18","19","25","16",""
"Out-23","15","14","18","21","19","22",""
"Out-24","19","20","19","18","13","16",""
"Out-25","12","20","22","12","24","13",""
"Out-26","17","16","13","16","15","23",""
"Out-27","26","16","17","17","13","25",""
"Out-28","21","17","16","15","18","18",""
"Out-29","17","17","23","17","11","30",""
"Out-30","15","15","17","25","20","17",""
"Out-31","19","14","25","21","21","23",""
"Nov-01","14","17","22","22","16","25",""
"Nov-02","21","23","16","18","27","17",""
"Nov-03","22","13","12","24","23","15",""
"Nov-04","16","12","20","19","22","11",""
"Nov-05","20","14","16","5","23","18",""
"Nov-06","17","15","18","16","23","21",""
"Nov-07","14","16","12","20","14","19",""
"Nov-08","19","20","16","16","15","18",""
"Nov-09","15","28","29","14","17","20",""
"Nov-10","27","20","12","14","17","19",""
"Nov-11","18","22","18","16","15","20",""
"Nov-12","22","22","31","27","16","22",""
"Nov-13","17","21","15","17","20","29",""
"Nov-14","20","15","28","16","10","23",""
"Nov-15","14","16","17","23","20","15",""
"Nov-16","21","17","19","21","20","17",""
"Nov-17","15","19","19","15","11","18",""
"Nov-18","21","17","20","12","20","21",""
"Nov-19","15","22","17","22","20","18",""
"Nov-20","13","25","28","23","17","16",""
"Nov-21","18","21","15","25","18","21",""
"Nov-22","20","21","24","19","19","30",""
"Nov-23","20","21","20","29","20","17",""
"Nov-24","20","26","22","22","21","13",""
"Nov-25","20","29","24","10","15","23",""
"Nov-26","17","25","25","20","24","18",""
"Nov-27","25","22","19","23","18","28",""
"Nov-28","24","16","26","31","17","22",""
"Nov-29","14","14","20","16","20","20",""
"Nov-30","20","18","17","19","25","26",""
"Dez-01","20","21","25","19","12","20",""
"Dez-02","22","20","27","20","17","16",""
"Dez-03","31","15","35","22","18","16",""
"Dez-04","24","21","32","24","21","17",""
"Dez-05","24","17","20","23","29","17",""
"Dez-06","27","24","11","10","24","16",""
"Dez-07","24","23","20","25","27","13",""
"Dez-08","14","13","25","19","17","16",""
"Dez-09","25","27","27","32","18","19",""
"Dez-10","19","21","25","17","16","22",""
"Dez-11","25","15","21","18","26","23",""
"Dez-12","24","26","17","16","15","27",""
"Dez-13","18","21","19","21","34","18",""
"Dez-14","33","25","24","17","14","20",""
"Dez-15","27","26","21","14","29","22",""
"Dez-16","32","22","30","16","22","21",""
"Dez-17","18","23","21","18","24","9",""
"Dez-18","18","17","21","22","15","24",""
"Dez-19","30","26","31","26","25","29",""
"Dez-20","22","20","20","17","26","26",""
"Dez-21","24","21","25","25","14","25",""
"Dez-22","26","24","29","19","22","20",""
"Dez-23","24","23","28","22","20","20",""
"Dez-24","35","16","30","21","25","18",""
"Dez-25","17","27","28","27","20","18",""
"Dez-26","28","25","31","31","22","18",""
"Dez-27","18","21","41","24","18","27",""
"Dez-28","19","30","35","30","25","17",""
"Dez-29","23","16","33","24","15","28",""
"Dez-30","14","22","35","13","28","19",""
"Dez-31","18","24","23","31","27","22",""
