"Data (mm-dd)","2014","2015","2016","2017","2018","2019","2020"
"Out-30","8","5","3","6","6","3",""
"Out-31","7","8","8","4","9","7",""
"Nov-01","7","8","5","6","6","8",""
"Nov-02","9","5","11","5","8","7",""
"Nov-03","2","7","9","4","8","7",""
"Nov-04","6","6","7","5","8","10",""
"Nov-05","10","7","9","6","4","8",""
"Nov-06","6","8","6","7","10","5",""
"Nov-07","8","5","8","10","3","13",""
"Nov-08","6","5","6","5","5","9",""
"Nov-09","5","5","7","6","4","6",""
"Nov-10","5","5","10","3","3","10",""
"Nov-11","7","6","8","8","6","2",""
"Nov-12","5","3","9","6","6","9",""
"Nov-13","10","5","5","4","8","7",""
"Nov-14","7","7","5","8","8","6",""
"Nov-15","11","7","6","9","5","9",""
"Nov-16","7","9","13","10","10","9",""
"Nov-17","7","7","3","5","6","8",""
"Nov-18","6","3","7","6","6","8",""
"Nov-19","9","6","6","5","8","10",""
"Nov-20","9","6","5","6","8","4",""
"Nov-21","4","9","5","3","6","6",""
"Nov-22","11","8","7","11","7","9",""
"Nov-23","5","7","9","5","9","5",""
"Nov-24","6","10","9","5","7","4",""
"Nov-25","6","7","9","6","8","6",""
"Nov-26","5","12","14","9","9","7",""
"Nov-27","10","9","7","5","9","3",""
"Nov-28","6","8","10","5","5","4",""
"Nov-29","9","2","5","5","7","11",""
"Nov-30","3","6","10","5","4","4",""
"Dez-01","7","10","11","4","6","6",""
"Dez-02","5","8","8","7","5","8",""
"Dez-03","3","5","6","8","5","6",""
"Dez-04","4","7","11","8","5","1",""
"Dez-05","6","9","9","9","7","9",""
"Dez-06","7","11","11","10","6","9",""
"Dez-07","12","7","5","6","9","8",""
"Dez-08","9","9","9","6","6","7",""
"Dez-09","10","4","13","3","8","6",""
"Dez-10","7","3","6","4","7","11",""
"Dez-11","9","8","7","11","3","10",""
"Dez-12","10","9","12","9","8","9",""
"Dez-13","1","10","11","5","7","11",""
"Dez-14","8","6","7","7","8","10",""
"Dez-15","7","7","6","12","6","2",""
"Dez-16","6","4","5","12","5","4",""
"Dez-17","7","6","8","5","9","9",""
"Dez-18","13","8","9","5","9","6",""
"Dez-19","9","10","11","4","4","7",""
"Dez-20","8","10","14","5","4","11",""
"Dez-21","10","8","6","3","9","6",""
"Dez-22","5","8","10","14","8","6",""
"Dez-23","7","11","13","12","11","7",""
"Dez-24","15","4","8","7","8","11",""
"Dez-25","4","7","9","14","8","8",""
"Dez-26","12","8","9","8","9","3",""
"Dez-27","7","9","9","11","8","11",""
"Dez-28","11","5","10","10","5","7",""
"Dez-29","9","6","5","4","10","6",""
"Dez-30","8","7","6","8","4","8",""
"Dez-31","7","5","4","7","10","11",""
