,city,"p, d, q","P, D, Q, m",aic
132,Algarve,"(1, 0, 1)","(1, 0, 0, 15)",641.7935238164116
133,Algarve,"(1, 0, 1)","(1, 0, 1, 15)",637.0485033924309
134,Algarve,"(1, 0, 1)","(1, 0, 2, 15)",3273.674897074272
135,Algarve,"(1, 0, 1)","(1, 1, 0, 15)",567.8112403437891
136,Algarve,"(1, 0, 1)","(1, 1, 1, 15)",560.2551405788846
137,Algarve,"(1, 0, 1)","(1, 1, 2, 15)",2858.1278826554785
138,Algarve,"(1, 0, 1)","(2, 0, 0, 15)",545.7615905138762
139,Algarve,"(1, 0, 1)","(2, 0, 1, 15)",543.0233750047051
140,Algarve,"(1, 0, 1)","(2, 0, 2, 15)",3364.028581426611
141,Algarve,"(1, 0, 1)","(2, 1, 0, 15)",444.8838903886013
142,Algarve,"(1, 0, 1)","(2, 1, 1, 15)",451.16853203041234
143,Algarve,"(1, 0, 1)","(2, 1, 2, 15)",2781.528850840276
144,Algarve,"(1, 0, 2)","(0, 0, 0, 15)",710.1758362795067
145,Algarve,"(1, 0, 2)","(0, 0, 1, 15)",632.2874974359885
146,Algarve,"(1, 0, 2)","(0, 0, 2, 15)",3299.858310500332
147,Algarve,"(1, 0, 2)","(0, 1, 0, 15)",671.0930345981112
148,Algarve,"(1, 0, 2)","(0, 1, 1, 15)",548.02293928395
149,Algarve,"(1, 0, 2)","(0, 1, 2, 15)",2079.7482336585517
150,Algarve,"(1, 0, 2)","(1, 0, 0, 15)",643.0120839204345
151,Algarve,"(1, 0, 2)","(1, 0, 1, 15)",633.1997372466177
152,Algarve,"(1, 0, 2)","(1, 0, 2, 15)",3138.4504929305263
153,Algarve,"(1, 0, 2)","(1, 1, 0, 15)",569.5782758640414
154,Algarve,"(1, 0, 2)","(1, 1, 1, 15)",555.428968147564
155,Algarve,"(1, 0, 2)","(1, 1, 2, 15)",2614.188257842739
156,Algarve,"(1, 0, 2)","(2, 0, 0, 15)",547.7583143342978
157,Algarve,"(1, 0, 2)","(2, 0, 1, 15)",544.9601077073531
158,Algarve,"(1, 0, 2)","(2, 0, 2, 15)",3227.2294342123973
159,Algarve,"(1, 0, 2)","(2, 1, 0, 15)",444.59023750739703
160,Algarve,"(1, 0, 2)","(2, 1, 1, 15)",449.4902429221025
161,Algarve,"(1, 0, 2)","(2, 1, 2, 15)",2479.9122773503873
162,Algarve,"(1, 1, 0)","(0, 0, 0, 15)",723.5981216953984
163,Algarve,"(1, 1, 0)","(0, 0, 1, 15)",644.1275231808107
164,Algarve,"(1, 1, 0)","(0, 0, 2, 15)",3384.895331911367
165,Algarve,"(1, 1, 0)","(0, 1, 0, 15)",686.9790179552209
166,Algarve,"(1, 1, 0)","(0, 1, 1, 15)",561.9281433949275
167,Algarve,"(1, 1, 0)","(0, 1, 2, 15)",3386.9751408379057
168,Algarve,"(1, 1, 0)","(1, 0, 0, 15)",644.1949268220386
169,Algarve,"(1, 1, 0)","(1, 0, 1, 15)",646.1255935315116
170,Algarve,"(1, 1, 0)","(1, 0, 2, 15)",3361.374410714786
171,Algarve,"(1, 1, 0)","(1, 1, 0, 15)",570.297731319472
172,Algarve,"(1, 1, 0)","(1, 1, 1, 15)",568.094797628259
173,Algarve,"(1, 1, 0)","(1, 1, 2, 15)",3390.054482335063
174,Algarve,"(1, 1, 0)","(2, 0, 0, 15)",546.0159281984716
175,Algarve,"(1, 1, 0)","(2, 0, 1, 15)",540.8605625166134
176,Algarve,"(1, 1, 0)","(2, 0, 2, 15)",3384.5148321483666
177,Algarve,"(1, 1, 0)","(2, 1, 0, 15)",443.5536753523471
178,Algarve,"(1, 1, 0)","(2, 1, 1, 15)",436.2778441034484
179,Algarve,"(1, 1, 0)","(2, 1, 2, 15)",3391.626750736927
180,Algarve,"(1, 1, 1)","(0, 0, 0, 15)",708.375803898367
181,Algarve,"(1, 1, 1)","(0, 0, 1, 15)",630.5163989070788
182,Algarve,"(1, 1, 1)","(0, 0, 2, 15)",3469.959891455881
183,Algarve,"(1, 1, 1)","(0, 1, 0, 15)",670.9293137868685
184,Algarve,"(1, 1, 1)","(0, 1, 1, 15)",547.2588947177668
185,Algarve,"(1, 1, 1)","(0, 1, 2, 15)",2693.6336228764985
186,Algarve,"(1, 1, 1)","(1, 0, 0, 15)",636.0683986517128
187,Algarve,"(1, 1, 1)","(1, 0, 1, 15)",632.5036498177639
188,Algarve,"(1, 1, 1)","(1, 0, 2, 15)",3446.740800769672
189,Algarve,"(1, 1, 1)","(1, 1, 0, 15)",562.8814027136042
190,Algarve,"(1, 1, 1)","(1, 1, 1, 15)",554.6461784528541
191,Algarve,"(1, 1, 1)","(1, 1, 2, 15)",2710.411811296416
192,Algarve,"(1, 1, 1)","(2, 0, 0, 15)",540.2703134181091
193,Algarve,"(1, 1, 1)","(2, 0, 1, 15)",537.327021583994
194,Algarve,"(1, 1, 1)","(2, 0, 2, 15)",3469.6265113934874
195,Algarve,"(1, 1, 1)","(2, 1, 0, 15)",438.2613384978995
196,Algarve,"(1, 1, 1)","(2, 1, 1, 15)",431.22421553855986
197,Algarve,"(1, 1, 1)","(2, 1, 2, 15)",2707.0092139921117
198,Algarve,"(1, 1, 2)","(0, 0, 0, 15)",704.4894426275393
199,Algarve,"(1, 1, 2)","(0, 0, 1, 15)",626.3546455767291
200,Algarve,"(1, 1, 2)","(0, 0, 2, 15)",3330.227007651786
201,Algarve,"(1, 1, 2)","(0, 1, 0, 15)",665.3603721515865
202,Algarve,"(1, 1, 2)","(0, 1, 1, 15)",541.9415372370814
203,Algarve,"(1, 1, 2)","(0, 1, 2, 15)",2906.602452335229
204,Algarve,"(1, 1, 2)","(1, 0, 0, 15)",637.2948330957892
205,Algarve,"(1, 1, 2)","(1, 0, 1, 15)",628.3538450859123
206,Algarve,"(1, 1, 2)","(1, 0, 2, 15)",3307.3116968786926
207,Algarve,"(1, 1, 2)","(1, 1, 0, 15)",563.7578253247054
208,Algarve,"(1, 1, 2)","(1, 1, 1, 15)",549.4532941686284
209,Algarve,"(1, 1, 2)","(1, 1, 2, 15)",2909.6135136699327
210,Algarve,"(1, 1, 2)","(2, 0, 0, 15)",541.896108547571
211,Algarve,"(1, 1, 2)","(2, 0, 1, 15)",539.291026350085
212,Algarve,"(1, 1, 2)","(2, 0, 2, 15)",3329.94578168107
213,Algarve,"(1, 1, 2)","(2, 1, 0, 15)",439.20096487862827
214,Algarve,"(1, 1, 2)","(2, 1, 1, 15)",431.9471988616702
215,Algarve,"(1, 1, 2)","(2, 1, 2, 15)",2911.4539543482697
216,Algarve,"(2, 0, 0)","(0, 0, 0, 15)",719.8894184896211
217,Algarve,"(2, 0, 0)","(0, 0, 1, 15)",646.2267362191909
218,Algarve,"(2, 0, 0)","(0, 0, 2, 15)",3438.70054434353
219,Algarve,"(2, 0, 0)","(0, 1, 0, 15)",678.6942376579752
220,Algarve,"(2, 0, 0)","(0, 1, 1, 15)",561.9279556724864
221,Algarve,"(2, 0, 0)","(0, 1, 2, 15)",3189.1432123322584
222,Algarve,"(2, 0, 0)","(1, 0, 0, 15)",640.8219057455536
223,Algarve,"(2, 0, 0)","(1, 0, 1, 15)",640.9143912406294
224,Algarve,"(2, 0, 0)","(1, 0, 2, 15)",3272.9965635991844
225,Algarve,"(2, 0, 0)","(1, 1, 0, 15)",565.5979505812836
226,Algarve,"(2, 0, 0)","(1, 1, 1, 15)",562.5036299128031
227,Algarve,"(2, 0, 0)","(1, 1, 2, 15)",3318.406763183574
228,Algarve,"(2, 0, 0)","(2, 0, 0, 15)",544.2170169773558
229,Algarve,"(2, 0, 0)","(2, 0, 1, 15)",540.2476891080288
230,Algarve,"(2, 0, 0)","(2, 0, 2, 15)",3074.170428838833
231,Algarve,"(2, 0, 0)","(2, 1, 0, 15)",439.95675441787506
232,Algarve,"(2, 0, 0)","(2, 1, 1, 15)",446.2194286557266
233,Algarve,"(2, 0, 0)","(2, 1, 2, 15)",2792.895510777982
234,Algarve,"(2, 0, 1)","(0, 0, 0, 15)",715.740667711236
235,Algarve,"(2, 0, 1)","(0, 0, 1, 15)",637.9962934495231
236,Algarve,"(2, 0, 1)","(0, 0, 2, 15)",2950.9194711552645
237,Algarve,"(2, 0, 1)","(0, 1, 0, 15)",677.0085590312698
238,Algarve,"(2, 0, 1)","(0, 1, 1, 15)",554.7099895736849
239,Algarve,"(2, 0, 1)","(0, 1, 2, 15)",4905.473995710656
240,Algarve,"(2, 0, 1)","(1, 0, 0, 15)",638.013586957281
241,Algarve,"(2, 0, 1)","(1, 0, 1, 15)",638.8110689425109
242,Algarve,"(2, 0, 1)","(1, 0, 2, 15)",2786.975524853129
243,Algarve,"(2, 0, 1)","(1, 1, 0, 15)",563.8093978410451
244,Algarve,"(2, 0, 1)","(1, 1, 1, 15)",556.7098378586018
245,Algarve,"(2, 0, 1)","(1, 1, 2, 15)",5055.962246569643
246,Algarve,"(2, 0, 1)","(2, 0, 0, 15)",542.2452999146024
247,Algarve,"(2, 0, 1)","(2, 0, 1, 15)",539.706781218476
248,Algarve,"(2, 0, 1)","(2, 0, 2, 15)",2877.3747282758927
249,Algarve,"(2, 0, 1)","(2, 1, 0, 15)",440.08884165757075
250,Algarve,"(2, 0, 1)","(2, 1, 1, 15)",432.76479045396803
251,Algarve,"(2, 0, 1)","(2, 1, 2, 15)",2635.463585463067
252,Algarve,"(2, 0, 2)","(0, 0, 0, 15)",711.6523171428527
253,Algarve,"(2, 0, 2)","(0, 0, 1, 15)",633.7495931286358
254,Algarve,"(2, 0, 2)","(0, 0, 2, 15)",3400.1065613398464
255,Algarve,"(2, 0, 2)","(0, 1, 0, 15)",674.6491513025737
256,Algarve,"(2, 0, 2)","(0, 1, 1, 15)",548.6038994549349
257,Algarve,"(2, 0, 2)","(0, 1, 2, 15)",
258,Algarve,"(2, 0, 2)","(1, 0, 0, 15)",639.0966734240992
259,Algarve,"(2, 0, 2)","(1, 0, 1, 15)",634.6721534184898
260,Algarve,"(2, 0, 2)","(1, 0, 2, 15)",3238.343393248561
261,Algarve,"(2, 0, 2)","(1, 1, 0, 15)",564.7785699677556
262,Algarve,"(2, 0, 2)","(1, 1, 1, 15)",555.8141431746006
263,Algarve,"(2, 0, 2)","(1, 1, 2, 15)",
264,Algarve,"(2, 0, 2)","(2, 0, 0, 15)",544.0029552318966
265,Algarve,"(2, 0, 2)","(2, 0, 1, 15)",541.5812538581636
266,Algarve,"(2, 0, 2)","(2, 0, 2, 15)",3327.6619668053104
267,Algarve,"(2, 0, 2)","(2, 1, 0, 15)",441.0738459537925
268,Algarve,"(2, 0, 2)","(2, 1, 1, 15)",433.80064085257567
269,Algarve,"(2, 0, 2)","(2, 1, 2, 15)",4777.98109044987
270,Algarve,"(2, 1, 0)","(0, 0, 0, 15)",710.115242797345
271,Algarve,"(2, 1, 0)","(0, 0, 1, 15)",637.0275919852639
272,Algarve,"(2, 1, 0)","(0, 0, 2, 15)",3302.3765327887604
273,Algarve,"(2, 1, 0)","(0, 1, 0, 15)",671.365021466965
274,Algarve,"(2, 1, 0)","(0, 1, 1, 15)",554.8276302374765
275,Algarve,"(2, 1, 0)","(0, 1, 2, 15)",2975.654217422217
276,Algarve,"(2, 1, 0)","(1, 0, 0, 15)",631.6640510956499
277,Algarve,"(2, 1, 0)","(1, 0, 1, 15)",631.6070117305053
278,Algarve,"(2, 1, 0)","(1, 0, 2, 15)",3278.9561060903434
279,Algarve,"(2, 1, 0)","(1, 1, 0, 15)",555.0102725082055
280,Algarve,"(2, 1, 0)","(1, 1, 1, 15)",553.7784820869152
281,Algarve,"(2, 1, 0)","(1, 1, 2, 15)",2978.3785939864083
282,Algarve,"(2, 1, 0)","(2, 0, 0, 15)",531.8928062353122
283,Algarve,"(2, 1, 0)","(2, 0, 1, 15)",529.9700946285113
284,Algarve,"(2, 1, 0)","(2, 0, 2, 15)",2771.4875084262435
285,Algarve,"(2, 1, 0)","(2, 1, 0, 15)",431.0428856066068
286,Algarve,"(2, 1, 0)","(2, 1, 1, 15)",424.7007985507778
287,Algarve,"(2, 1, 0)","(2, 1, 2, 15)",3489.4841903636534
288,Algarve,"(2, 1, 1)","(0, 0, 0, 15)",710.0650708633448
289,Algarve,"(2, 1, 1)","(0, 0, 1, 15)",632.0499534928772
290,Algarve,"(2, 1, 1)","(0, 0, 2, 15)",2866.2192181576634
291,Algarve,"(2, 1, 1)","(0, 1, 0, 15)",672.4204269047299
292,Algarve,"(2, 1, 1)","(0, 1, 1, 15)",547.7995845579208
293,Algarve,"(2, 1, 1)","(0, 1, 2, 15)",2950.464962162221
294,Algarve,"(2, 1, 1)","(1, 0, 0, 15)",632.1667819942679
295,Algarve,"(2, 1, 1)","(1, 0, 1, 15)",634.0497604841429
