,city,"p, d, q","P, D, Q, m",aic
248,LVT,"(2, 0, 1)","(2, 0, 2, 15)",3174.7759120556984
249,LVT,"(2, 0, 1)","(2, 1, 0, 15)",803.0091096837976
250,LVT,"(2, 0, 1)","(2, 1, 1, 15)",804.4689387614312
251,LVT,"(2, 0, 1)","(2, 1, 2, 15)",2739.377037206028
252,LVT,"(2, 0, 2)","(0, 0, 0, 15)",1302.5917877870122
253,LVT,"(2, 0, 2)","(0, 0, 1, 15)",1143.7528299393475
254,LVT,"(2, 0, 2)","(0, 0, 2, 15)",3641.8876209439736
255,LVT,"(2, 0, 2)","(0, 1, 0, 15)",1179.6976809490152
256,LVT,"(2, 0, 2)","(0, 1, 1, 15)",975.5008540392924
257,LVT,"(2, 0, 2)","(0, 1, 2, 15)",2720.3255762057147
258,LVT,"(2, 0, 2)","(1, 0, 0, 15)",1153.6677569890196
259,LVT,"(2, 0, 2)","(1, 0, 1, 15)",1144.7488261319502
260,LVT,"(2, 0, 2)","(1, 0, 2, 15)",3200.396300308598
261,LVT,"(2, 0, 2)","(1, 1, 0, 15)",1010.946490173819
262,LVT,"(2, 0, 2)","(1, 1, 1, 15)",977.4927468283566
263,LVT,"(2, 0, 2)","(1, 1, 2, 15)",2858.8456326343844
264,LVT,"(2, 0, 2)","(2, 0, 0, 15)",989.1151631717012
265,LVT,"(2, 0, 2)","(2, 0, 1, 15)",989.7511742377046
266,LVT,"(2, 0, 2)","(2, 0, 2, 15)",3162.7241513790186
267,LVT,"(2, 0, 2)","(2, 1, 0, 15)",801.8486433900422
268,LVT,"(2, 0, 2)","(2, 1, 1, 15)",798.9425269313758
269,LVT,"(2, 0, 2)","(2, 1, 2, 15)",3224.5433347265785
270,LVT,"(2, 1, 0)","(0, 0, 0, 15)",1313.2160097726273
271,LVT,"(2, 1, 0)","(0, 0, 1, 15)",1162.8024209909263
272,LVT,"(2, 1, 0)","(0, 0, 2, 15)",3100.183468928475
273,LVT,"(2, 1, 0)","(0, 1, 0, 15)",1193.712407343901
274,LVT,"(2, 1, 0)","(0, 1, 1, 15)",998.4196374132997
275,LVT,"(2, 1, 0)","(0, 1, 2, 15)",3233.2930244631607
276,LVT,"(2, 1, 0)","(1, 0, 0, 15)",1151.74364570395
277,LVT,"(2, 1, 0)","(1, 0, 1, 15)",1153.7395753892806
278,LVT,"(2, 1, 0)","(1, 0, 2, 15)",2617.2367454405476
279,LVT,"(2, 1, 0)","(1, 1, 0, 15)",1009.6785570110887
280,LVT,"(2, 1, 0)","(1, 1, 1, 15)",989.0042760609455
281,LVT,"(2, 1, 0)","(1, 1, 2, 15)",3207.462306696463
282,LVT,"(2, 1, 0)","(2, 0, 0, 15)",986.696351897535
283,LVT,"(2, 1, 0)","(2, 0, 1, 15)",984.1540326957669
284,LVT,"(2, 1, 0)","(2, 0, 2, 15)",2506.217913866082
285,LVT,"(2, 1, 0)","(2, 1, 0, 15)",802.1463842778453
286,LVT,"(2, 1, 0)","(2, 1, 1, 15)",804.0477086630699
287,LVT,"(2, 1, 0)","(2, 1, 2, 15)",3161.5993670597854
288,LVT,"(2, 1, 1)","(0, 0, 0, 15)",1300.9217247127278
289,LVT,"(2, 1, 1)","(0, 0, 1, 15)",1141.7085146861639
290,LVT,"(2, 1, 1)","(0, 0, 2, 15)",3382.8394643503952
291,LVT,"(2, 1, 1)","(0, 1, 0, 15)",1183.9805806482327
292,LVT,"(2, 1, 1)","(0, 1, 1, 15)",976.4296097580207
293,LVT,"(2, 1, 1)","(0, 1, 2, 15)",3092.7974205830105
294,LVT,"(2, 1, 1)","(1, 0, 0, 15)",1140.7737790835804
295,LVT,"(2, 1, 1)","(1, 0, 1, 15)",1142.5315958229019
296,LVT,"(2, 1, 1)","(1, 0, 2, 15)",3395.5219267433054
297,LVT,"(2, 1, 1)","(1, 1, 0, 15)",1000.2292504197513
298,LVT,"(2, 1, 1)","(1, 1, 1, 15)",978.4145169538767
299,LVT,"(2, 1, 1)","(1, 1, 2, 15)",3057.375889733289
300,LVT,"(2, 1, 1)","(2, 0, 0, 15)",976.1339044902177
301,LVT,"(2, 1, 1)","(2, 0, 1, 15)",972.5161079702937
302,LVT,"(2, 1, 1)","(2, 0, 2, 15)",3376.6150457529066
303,LVT,"(2, 1, 1)","(2, 1, 0, 15)",792.786427630685
304,LVT,"(2, 1, 1)","(2, 1, 1, 15)",794.1804653858101
305,LVT,"(2, 1, 1)","(2, 1, 2, 15)",3064.02160430802
306,LVT,"(2, 1, 2)","(0, 0, 0, 15)",1292.2763307515952
307,LVT,"(2, 1, 2)","(0, 0, 1, 15)",1132.8057826242175
308,LVT,"(2, 1, 2)","(0, 0, 2, 15)",3536.2874107592215
309,LVT,"(2, 1, 2)","(0, 1, 0, 15)",1174.751008782171
310,LVT,"(2, 1, 2)","(0, 1, 1, 15)",966.5036207341395
311,LVT,"(2, 1, 2)","(0, 1, 2, 15)",2661.786292725424
312,LVT,"(2, 1, 2)","(1, 0, 0, 15)",1142.6803897250231
313,LVT,"(2, 1, 2)","(1, 0, 1, 15)",1133.6846193531483
314,LVT,"(2, 1, 2)","(1, 0, 2, 15)",3612.6716184492166
315,LVT,"(2, 1, 2)","(1, 1, 0, 15)",1001.6706379875393
316,LVT,"(2, 1, 2)","(1, 1, 1, 15)",968.4870691386932
317,LVT,"(2, 1, 2)","(1, 1, 2, 15)",2562.7386493810677
318,LVT,"(2, 1, 2)","(2, 0, 0, 15)",977.8420367026598
319,LVT,"(2, 1, 2)","(2, 0, 1, 15)",973.7943061387767
320,LVT,"(2, 1, 2)","(2, 0, 2, 15)",3479.8407066164245
321,LVT,"(2, 1, 2)","(2, 1, 0, 15)",788.5964735310893
322,LVT,"(2, 1, 2)","(2, 1, 1, 15)",787.1344834981434
323,LVT,"(2, 1, 2)","(2, 1, 2, 15)",2573.3424917433135
